an Acolyte,an Anthropologist,a Charlatan,a Criminal,a Criminal (Spy),an Entertainer,an Entertainer (Gladiator),a Fisher,a Folk Hero,a Guild Artisan,a Guild Artisan (Guild Merchant),a Haunted One,a Hermit,a Marine,a Noble,a Noble (Knight),an Outlander,a Sage,a Sailor,a Sailor (Pirate),a Shipwright,a Smuggler,a Soldier,an Urchin
Insight,Insight,Deception,Deception,Deception,Acrobatics,Acrobatics,History,Animal Handling,Insight,Insight,Acrobatics,Medicine,Athletics,History,History,Athletics,Arcana,Athletics,Athletics,History,Athletics,Athletics,Sleight of Hand
Religion,Religion,Sleight of Hand,Stealth,Stealth,Performance,Performance,Survival,Survival,Persuasion,Persuasion,Animal Handling,Religion,Survival,Persuasion,Persuasion,Survival,Survival,Perception,Perception,Perception,Deception,Intimidation,Stealth
,,,,,,,,,,,Arcana,,,,,,,,,,,,
,,,,,,,,,,,Athletics,,,,,,,,,,,,
,,,,,,,,,,,Deception,,,,,,,,,,,,
,,,,,,,,,,,History,,,,,,,,,,,,
,,,,,,,,,,,Insight,,,,,,,,,,,,
,,,,,,,,,,,Intimidation,,,,,,,,,,,,
,,,,,,,,,,,Investigation,,,,,,,,,,,,
,,,,,,,,,,,Medicine,,,,,,,,,,,,
,,,,,,,,,,,Nature,,,,,,,,,,,,
,,,,,,,,,,,Perception,,,,,,,,,,,,
,,,,,,,,,,,Performance,,,,,,,,,,,,
,,,,,,,,,,,Persuasion,,,,,,,,,,,,
,,,,,,,,,,,Religion,,,,,,,,,,,,
,,,,,,,,,,,Sleight of Hand,,,,,,,,,,,,
,,,,,,,,,,,Stealth,,,,,,,,,,,,
,,,,,,,,,,,Survival,,,,,,,,,,,,
